,run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7
trial_0,"['bottle', 'box', 'cup', 'candle', 'can', 'bandage', 'book', 'remote']","['bottle', 'bandage', 'candle', 'can', 'remote', 'cup', 'book', 'box']","['bandage', 'book', 'can', 'box', 'candle', 'remote', 'bottle', 'cup']","['candle', 'remote', 'box', 'cup', 'can', 'bandage', 'book', 'bottle']","['book', 'can', 'remote', 'box', 'candle', 'cup', 'bottle', 'bandage']","['box', 'cup', 'bottle', 'bandage', 'remote', 'candle', 'can', 'book']","['remote', 'bottle', 'candle', 'book', 'box', 'cup', 'can', 'bandage']","['bottle', 'remote', 'candle', 'box', 'can', 'cup', 'bandage', 'book']"
trial_1,"['candle', 'remote', 'bandage', 'bottle', 'cup', 'book', 'box', 'can']","['remote', 'bottle', 'box', 'can', 'book', 'bandage', 'cup', 'candle']","['bandage', 'remote', 'box', 'bottle', 'candle', 'book', 'cup', 'can']","['remote', 'bandage', 'cup', 'can', 'box', 'book', 'bottle', 'candle']","['bandage', 'can', 'candle', 'bottle', 'box', 'remote', 'book', 'cup']","['can', 'cup', 'box', 'book', 'bandage', 'candle', 'remote', 'bottle']","['remote', 'candle', 'box', 'bandage', 'cup', 'bottle', 'book', 'can']","['can', 'bottle', 'bandage', 'remote', 'candle', 'box', 'cup', 'book']"
trial_2,"['can', 'book', 'bandage', 'box', 'candle', 'cup', 'bottle', 'remote']","['box', 'can', 'book', 'cup', 'remote', 'bandage', 'candle', 'bottle']","['bottle', 'book', 'box', 'remote', 'candle', 'can', 'cup', 'bandage']","['remote', 'cup', 'bandage', 'box', 'candle', 'can', 'bottle', 'book']","['box', 'bandage', 'can', 'bottle', 'remote', 'candle', 'cup', 'book']","['box', 'bottle', 'candle', 'bandage', 'can', 'cup', 'remote', 'book']","['book', 'remote', 'bandage', 'cup', 'can', 'candle', 'bottle', 'box']","['box', 'candle', 'book', 'cup', 'bottle', 'can', 'bandage', 'remote']"
trial_3,"['bandage', 'box', 'candle', 'can', 'book', 'remote', 'cup', 'bottle']","['candle', 'can', 'bandage', 'bottle', 'cup', 'box', 'book', 'remote']","['box', 'cup', 'book', 'candle', 'can', 'bandage', 'remote', 'bottle']","['remote', 'cup', 'candle', 'bandage', 'book', 'can', 'bottle', 'box']","['candle', 'book', 'bottle', 'remote', 'bandage', 'box', 'cup', 'can']","['candle', 'box', 'can', 'bandage', 'book', 'remote', 'cup', 'bottle']","['can', 'bandage', 'remote', 'cup', 'bottle', 'candle', 'book', 'box']","['bottle', 'remote', 'book', 'box', 'cup', 'can', 'candle', 'bandage']"
trial_4,"['cup', 'bandage', 'candle', 'bottle', 'box', 'remote', 'can', 'book']","['remote', 'bottle', 'box', 'book', 'bandage', 'can', 'candle', 'cup']","['box', 'candle', 'bandage', 'remote', 'can', 'cup', 'bottle', 'book']","['bottle', 'bandage', 'cup', 'book', 'box', 'can', 'remote', 'candle']","['bottle', 'bandage', 'box', 'candle', 'can', 'cup', 'book', 'remote']","['box', 'can', 'candle', 'remote', 'book', 'bandage', 'cup', 'bottle']","['bottle', 'candle', 'can', 'remote', 'cup', 'box', 'book', 'bandage']","['remote', 'book', 'box', 'candle', 'can', 'bottle', 'bandage', 'cup']"
trial_5,"['bandage', 'book', 'remote', 'cup', 'candle', 'can', 'box', 'bottle']","['book', 'bandage', 'candle', 'can', 'box', 'remote', 'cup', 'bottle']","['candle', 'bandage', 'book', 'remote', 'can', 'bottle', 'box', 'cup']","['candle', 'bottle', 'bandage', 'book', 'remote', 'cup', 'box', 'can']","['book', 'cup', 'box', 'can', 'bandage', 'candle', 'bottle', 'remote']","['book', 'cup', 'can', 'bottle', 'candle', 'remote', 'box', 'bandage']","['bandage', 'cup', 'remote', 'book', 'can', 'candle', 'box', 'bottle']","['box', 'book', 'bandage', 'candle', 'remote', 'can', 'cup', 'bottle']"
trial_6,"['bottle', 'can', 'bandage', 'remote', 'candle', 'book', 'cup', 'box']","['book', 'can', 'bottle', 'box', 'candle', 'bandage', 'cup', 'remote']","['box', 'bandage', 'remote', 'cup', 'can', 'candle', 'bottle', 'book']","['cup', 'box', 'bandage', 'candle', 'can', 'book', 'bottle', 'remote']","['bandage', 'book', 'bottle', 'can', 'remote', 'cup', 'candle', 'box']","['box', 'bandage', 'can', 'remote', 'book', 'bottle', 'candle', 'cup']","['bandage', 'cup', 'remote', 'book', 'box', 'candle', 'can', 'bottle']","['candle', 'can', 'book', 'box', 'bottle', 'bandage', 'remote', 'cup']"
trial_7,"['bottle', 'candle', 'book', 'can', 'cup', 'box', 'remote', 'bandage']","['box', 'bottle', 'can', 'candle', 'cup', 'remote', 'bandage', 'book']","['can', 'box', 'candle', 'bandage', 'remote', 'book', 'bottle', 'cup']","['candle', 'can', 'bottle', 'box', 'remote', 'cup', 'book', 'bandage']","['remote', 'box', 'cup', 'book', 'bottle', 'bandage', 'can', 'candle']","['bandage', 'cup', 'candle', 'remote', 'can', 'book', 'box', 'bottle']","['candle', 'cup', 'box', 'bottle', 'remote', 'book', 'bandage', 'can']","['remote', 'bottle', 'can', 'book', 'bandage', 'cup', 'candle', 'box']"
trial_8,"['book', 'candle', 'bottle', 'cup', 'remote', 'box', 'bandage', 'can']","['bandage', 'remote', 'bottle', 'book', 'box', 'can', 'candle', 'cup']","['book', 'bottle', 'remote', 'bandage', 'cup', 'candle', 'box', 'can']","['bottle', 'remote', 'box', 'cup', 'bandage', 'candle', 'can', 'book']","['book', 'candle', 'box', 'bandage', 'can', 'cup', 'bottle', 'remote']","['book', 'remote', 'box', 'can', 'bottle', 'cup', 'bandage', 'candle']","['box', 'remote', 'candle', 'can', 'book', 'bottle', 'cup', 'bandage']","['bandage', 'remote', 'can', 'book', 'box', 'candle', 'bottle', 'cup']"
trial_9,"['bottle', 'bandage', 'can', 'remote', 'box', 'candle', 'book', 'cup']","['can', 'book', 'cup', 'box', 'bottle', 'candle', 'remote', 'bandage']","['cup', 'remote', 'bandage', 'box', 'can', 'bottle', 'book', 'candle']","['remote', 'book', 'box', 'bandage', 'bottle', 'can', 'candle', 'cup']","['bottle', 'remote', 'box', 'can', 'candle', 'cup', 'bandage', 'book']","['candle', 'can', 'bottle', 'box', 'remote', 'cup', 'bandage', 'book']","['box', 'book', 'remote', 'bottle', 'bandage', 'can', 'cup', 'candle']","['box', 'candle', 'bottle', 'book', 'remote', 'bandage', 'can', 'cup']"
